  #KEY  [ui32]  2332 (bytes 00 00 09 1c)
  AC-B  [si8 ]  -1 (bytes ff)
  AC-C  [flag]  false (bytes 00)
  AC-I  [ui16]  22 (bytes 00 16)
  AC-J  [ui16]  0 (bytes 00 00)
  AC-M  [hex_]  257 (bytes 01 01)
  AC-N  [ui8 ]  2 (bytes 02)
  AC-P  [ui8 ]  0 (bytes 00)
  AC-Q  [ui8 ]  0 (bytes 00)
  AC-R  [ui8 ]  0 (bytes 00)
  AC-S  [flag]  true (bytes 01)
  AC-T  [ui8 ]  0 (bytes 00)
  AC-U  [flag]  false (bytes 00)
  AC-W  [si8 ]  -1 (bytes ff)
  ACAP  [ui8 ]  0 (bytes 00)
  ACBI  [hex_]  16777216 (bytes 01 00 00 00 00 01 00 00)
  ACCF  [ui8 ]  30 (bytes 1e)
  ACCP  [ui8 ]  0 (bytes 00)
  ACDB  [hex_]  4 (bytes 00 04)
  ACDI  [ui16]  0 (bytes 00 00)
  ACDL  [hex_]  0 (bytes 00)
  ACEC  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  ACFP  [flag]  false (bytes 00)
  ACID  [ui8 ]  0 (bytes 00)
  ACIE  [ui32]  0 (bytes 00 00 00 00)
  ACLM  [ui32]  0 (bytes 00 00 00 00)
  ACPK  [ui8 ]  0 (bytes 00)
  ACPO  [ui32]  0 (bytes 00 00 00 00)
  ACPW  [ui32]  0 (bytes 00 00 00 00)
  ACSt  [hex_]  117637120 (bytes 07 03 00 00)
  ACVS  [ui8 ]  0 (bytes 00)
  ACpt  [ui8 ]  0 (bytes 00)
  ADBA  [ui32]  0 (bytes 00 00 00 00)
  ANWP  [ui8 ]  2 (bytes 02)
  AOPb  [ui64]  (bytes 00 41 e7 0d 03 00 00 00)
  AP-N  [ui8 ]  2 (bytes 02)
  AP1F  [si16]  0 (bytes 00 00)
  AP1I  [si16]  0 (bytes 00 00)
  AP1P  [ui16]  0 (bytes 00 00)
  AP1S  [ui8 ]  0 (bytes 00)
  AP1V  [si16]  0 (bytes 00 00)
  AP1i  [ui16]  0 (bytes 00 00)
  AP1p  [ui32]  0 (bytes 00 00 00 00)
  AP1q  [ui32]  0 (bytes 00 00 00 00)
  AP1u  [si16]  0 (bytes 00 00)
  AP1v  [ui16]  0 (bytes 00 00)
  AP2F  [si16]  0 (bytes 00 00)
  AP2I  [si16]  0 (bytes 00 00)
  AP2P  [ui16]  0 (bytes 00 00)
  AP2S  [ui8 ]  0 (bytes 00)
  AP2V  [si16]  0 (bytes 00 00)
  AP2i  [ui16]  0 (bytes 00 00)
  AP2p  [ui32]  0 (bytes 00 00 00 00)
  AP2q  [ui32]  0 (bytes 00 00 00 00)
  AP2u  [si16]  0 (bytes 00 00)
  AP2v  [ui16]  0 (bytes 00 00)
  ARSD  [hex_]  0 (bytes 00 00 00)
  ARSP  [hex_]  0 (bytes 00 00 00)
  AY-N  [ui8 ]  1 (bytes 01)
  AY1A  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  AY1C  [ui8 ]  0 (bytes 00)
  AY1P  [ui8 ]  0 (bytes 00)
  AY1S  [ui8 ]  0 (bytes 00)
  AY1T  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  32763 (bytes 7f fb)
  B0AI  [si16]  32763 (bytes 7f fb)
  B0AJ  [si16]  16635 (bytes 40 fb)
  B0AP  [si32]  -722731009 (bytes d4 eb ff ff)
  B0AT  [ui16]  51467 (bytes c9 0b)
  B0AV  [ui16]  39696 (bytes 9b 10)
  B0BD  [ui16]  16946 (bytes 42 32)
  B0BL  [ui16]  17681 (bytes 45 11)
  B0CA  [ui16]  7203 (bytes 1c 23)
  B0CD  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  B0CH  [si16]  -4880 (bytes ec f0)
  B0CI  [hex_]  2240442607 (bytes 85 8a 70 ef)
  B0CJ  [hex_]  579956975 (bytes 22 91 70 ef)
  B0CM  [ui8 ]  100 (bytes 64)
  B0CS  [ui16]  0 (bytes 00 00)
  B0CT  [ui16]  0 (bytes 00 00)
  B0CV  [ui16]  48656 (bytes be 10)
  B0D1  [hex_]  3271689216 (bytes c3 02 04 00)
  B0DC  [ui16]  11301 (bytes 2c 25)
  B0FC  [ui16]  36901 (bytes 90 25)
  B0FG  [hex_]  52428800 (bytes 03 20 00 00 00 00 00 00)
  B0FH  [hex_]  4294901760 (bytes ff ff 00 00 00 00 00 00)
  B0FI  [hex_]  800 (bytes 03 20)
  B0FU  [hex_]  0 (bytes 00)
  B0FV  [hex_]  4238112268 (bytes fc 9c 76 0c)
  B0HM  [ui16]  6656 (bytes 1a 00)
  B0I2  [si16]  0 (bytes 00 00)
  B0ID  [hex_]  97322517 (bytes 05 cd 06 15)
  B0IF  [si16]  3065 (bytes 0b f9)
  B0IM  [si16]  -12150 (bytes d0 8a)
